Entity,Source,compound_id,data_source,compound_id_short
Compound::CHEBI:136604,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:136604,CHEBI,136604
Compound::CHEBI:136995,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:136995,CHEBI,136995
Compound::CHEBI:138644,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:138644,CHEBI,138644
Compound::CHEBI:14648,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:14648,CHEBI,14648
Compound::CHEBI:15356,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15356,CHEBI,15356
Compound::CHEBI:15372,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15372,CHEBI,15372
Compound::CHEBI:15414,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15414,CHEBI,15414
Compound::CHEBI:15429,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15429,CHEBI,15429
Compound::CHEBI:15486,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15486,CHEBI,15486
Compound::CHEBI:15627,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15627,CHEBI,15627
Compound::CHEBI:15646,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15646,CHEBI,15646
Compound::CHEBI:15681,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15681,CHEBI,15681
Compound::CHEBI:15693,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15693,CHEBI,15693
Compound::CHEBI:15705,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15705,CHEBI,15705
Compound::CHEBI:15734,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15734,CHEBI,15734
Compound::CHEBI:15757,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15757,CHEBI,15757
Compound::CHEBI:15767,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15767,CHEBI,15767
Compound::CHEBI:15805,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15805,CHEBI,15805
Compound::CHEBI:15817,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15817,CHEBI,15817
Compound::CHEBI:15858,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15858,CHEBI,15858
Compound::CHEBI:15889,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15889,CHEBI,15889
Compound::CHEBI:15986,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:15986,CHEBI,15986
Compound::CHEBI:16004,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16004,CHEBI,16004
Compound::CHEBI:16010,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16010,CHEBI,16010
Compound::CHEBI:16038,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16038,CHEBI,16038
Compound::CHEBI:16040,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16040,CHEBI,16040
Compound::CHEBI:16094,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16094,CHEBI,16094
Compound::CHEBI:16134,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16134,CHEBI,16134
Compound::CHEBI:16136,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16136,CHEBI,16136
Compound::CHEBI:16172,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16172,CHEBI,16172
Compound::CHEBI:16179,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16179,CHEBI,16179
Compound::CHEBI:16183,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16183,CHEBI,16183
Compound::CHEBI:16219,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16219,CHEBI,16219
Compound::CHEBI:16255,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16255,CHEBI,16255
Compound::CHEBI:16336,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16336,CHEBI,16336
Compound::CHEBI:16337,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16337,CHEBI,16337
Compound::CHEBI:16399,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16399,CHEBI,16399
Compound::CHEBI:16412,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16412,CHEBI,16412
Compound::CHEBI:16449,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16449,CHEBI,16449
Compound::CHEBI:16457,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16457,CHEBI,16457
Compound::CHEBI:16500,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16500,CHEBI,16500
Compound::CHEBI:16573,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16573,CHEBI,16573
Compound::CHEBI:16587,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16587,CHEBI,16587
Compound::CHEBI:166055,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:166055,CHEBI,166055
Compound::CHEBI:16646,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16646,CHEBI,16646
Compound::CHEBI:16651,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16651,CHEBI,16651
Compound::CHEBI:16659,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16659,CHEBI,16659
Compound::CHEBI:16728,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16728,CHEBI,16728
Compound::CHEBI:16733,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16733,CHEBI,16733
Compound::CHEBI:16767,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16767,CHEBI,16767
Compound::CHEBI:16804,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16804,CHEBI,16804
Compound::CHEBI:16838,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16838,CHEBI,16838
Compound::CHEBI:16862,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16862,CHEBI,16862
Compound::CHEBI:16973,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16973,CHEBI,16973
Compound::CHEBI:16991,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:16991,CHEBI,16991
Compound::CHEBI:17002,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17002,CHEBI,17002
Compound::CHEBI:17012,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17012,CHEBI,17012
Compound::CHEBI:17064,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17064,CHEBI,17064
Compound::CHEBI:17087,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17087,CHEBI,17087
Compound::CHEBI:17188,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17188,CHEBI,17188
Compound::CHEBI:17217,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17217,CHEBI,17217
Compound::CHEBI:17234,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17234,CHEBI,17234
Compound::CHEBI:17242,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17242,CHEBI,17242
Compound::CHEBI:17246,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17246,CHEBI,17246
Compound::CHEBI:17272,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17272,CHEBI,17272
Compound::CHEBI:17314,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17314,CHEBI,17314
Compound::CHEBI:17326,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17326,CHEBI,17326
Compound::CHEBI:17356,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17356,CHEBI,17356
Compound::CHEBI:17359,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17359,CHEBI,17359
Compound::CHEBI:17408,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17408,CHEBI,17408
Compound::CHEBI:17478,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17478,CHEBI,17478
Compound::CHEBI:17491,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17491,CHEBI,17491
Compound::CHEBI:17499,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17499,CHEBI,17499
Compound::CHEBI:17514,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17514,CHEBI,17514
Compound::CHEBI:17522,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17522,CHEBI,17522
Compound::CHEBI:17544,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17544,CHEBI,17544
Compound::CHEBI:17587,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17587,CHEBI,17587
Compound::CHEBI:17598,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17598,CHEBI,17598
Compound::CHEBI:17615,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17615,CHEBI,17615
Compound::CHEBI:17636,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17636,CHEBI,17636
Compound::CHEBI:17668,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17668,CHEBI,17668
Compound::CHEBI:17713,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17713,CHEBI,17713
Compound::CHEBI:17761,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17761,CHEBI,17761
Compound::CHEBI:17822,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17822,CHEBI,17822
Compound::CHEBI:17855,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17855,CHEBI,17855
Compound::CHEBI:17898,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:17898,CHEBI,17898
Compound::CHEBI:18038,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18038,CHEBI,18038
Compound::CHEBI:18133,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18133,CHEBI,18133
Compound::CHEBI:18153,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18153,CHEBI,18153
Compound::CHEBI:18169,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18169,CHEBI,18169
Compound::CHEBI:18172,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18172,CHEBI,18172
Compound::CHEBI:18179,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18179,CHEBI,18179
Compound::CHEBI:18186,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18186,CHEBI,18186
Compound::CHEBI:18219,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18219,CHEBI,18219
Compound::CHEBI:18237,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18237,CHEBI,18237
Compound::CHEBI:18254,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18254,CHEBI,18254
Compound::CHEBI:18257,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18257,CHEBI,18257
Compound::CHEBI:18274,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18274,CHEBI,18274
Compound::CHEBI:18282,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18282,CHEBI,18282
Compound::CHEBI:18287,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18287,CHEBI,18287
Compound::CHEBI:18310,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18310,CHEBI,18310
Compound::CHEBI:18318,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18318,CHEBI,18318
Compound::CHEBI:18348,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18348,CHEBI,18348
Compound::CHEBI:18383,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18383,CHEBI,18383
Compound::CHEBI:18422,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:18422,CHEBI,18422
Compound::CHEBI:19363,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:19363,CHEBI,19363
Compound::CHEBI:19569,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:19569,CHEBI,19569
Compound::CHEBI:20060,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:20060,CHEBI,20060
Compound::CHEBI:20067,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:20067,CHEBI,20067
Compound::CHEBI:20553,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:20553,CHEBI,20553
Compound::CHEBI:20857,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:20857,CHEBI,20857
Compound::CHEBI:21008,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:21008,CHEBI,21008
Compound::CHEBI:21060,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:21060,CHEBI,21060
Compound::CHEBI:21638,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:21638,CHEBI,21638
Compound::CHEBI:21759,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:21759,CHEBI,21759
Compound::CHEBI:21858,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:21858,CHEBI,21858
Compound::CHEBI:22260,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22260,CHEBI,22260
Compound::CHEBI:22280,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22280,CHEBI,22280
Compound::CHEBI:22331,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22331,CHEBI,22331
Compound::CHEBI:22335,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22335,CHEBI,22335
Compound::CHEBI:22339,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22339,CHEBI,22339
Compound::CHEBI:22359,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22359,CHEBI,22359
Compound::CHEBI:22478,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22478,CHEBI,22478
Compound::CHEBI:22599,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22599,CHEBI,22599
Compound::CHEBI:22614,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22614,CHEBI,22614
Compound::CHEBI:22619,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22619,CHEBI,22619
Compound::CHEBI:22656,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22656,CHEBI,22656
Compound::CHEBI:22660,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22660,CHEBI,22660
Compound::CHEBI:22678,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22678,CHEBI,22678
Compound::CHEBI:22744,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22744,CHEBI,22744
Compound::CHEBI:22801,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22801,CHEBI,22801
Compound::CHEBI:22832,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22832,CHEBI,22832
Compound::CHEBI:22885,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22885,CHEBI,22885
Compound::CHEBI:22908,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22908,CHEBI,22908
Compound::CHEBI:22921,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22921,CHEBI,22921
Compound::CHEBI:22966,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:22966,CHEBI,22966
Compound::CHEBI:23003,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23003,CHEBI,23003
Compound::CHEBI:23012,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23012,CHEBI,23012
Compound::CHEBI:23019,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23019,CHEBI,23019
Compound::CHEBI:23053,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23053,CHEBI,23053
Compound::CHEBI:23066,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23066,CHEBI,23066
Compound::CHEBI:23079,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23079,CHEBI,23079
Compound::CHEBI:23213,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23213,CHEBI,23213
Compound::CHEBI:23247,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23247,CHEBI,23247
Compound::CHEBI:23388,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23388,CHEBI,23388
Compound::CHEBI:23443,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23443,CHEBI,23443
Compound::CHEBI:23447,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23447,CHEBI,23447
Compound::CHEBI:23478,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23478,CHEBI,23478
Compound::CHEBI:23501,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23501,CHEBI,23501
Compound::CHEBI:23511,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23511,CHEBI,23511
Compound::CHEBI:23524,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23524,CHEBI,23524
Compound::CHEBI:23530,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23530,CHEBI,23530
Compound::CHEBI:23580,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23580,CHEBI,23580
Compound::CHEBI:23636,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23636,CHEBI,23636
Compound::CHEBI:23643,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:23643,CHEBI,23643
Compound::CHEBI:2365,[GNBR] Data extracted from biomedical texts see https://www.ncbi.nlm.nih.gov/pubmed/29490008/,CHEBI:2365,CHEBI,2365
